1,18,205,126,A Dijiang,Center,Coastal Car,Mid-American
2,19,218,90,Kjetil Andr Aamodt,Point Guard,SC Upstate,FBS
3,20,209,123,Rolf Aas,Center,N Colorado,PAC-12
4,20,196,95,Aleksey Aleksandrovich Abalmasov,Power Forward,UNC Asheville,FBS
5,21,193,105,Giuseppe Abbagnale,Power Forward,Stanford,Mountain West
6,19,186,129,Mahmoud Abd El-Kader,Shooting Guard,Kentucky,SEC
7,22,211,140,Dorri Abdel Kader Said,Point Guard,Akron,FBS
8,20,202,115,Mahmoud Abdel-Aal,Power Forward,Hampton,Atlantic Coast
9,18,202,117,Talal Omar Abdillahi,Center,Old Dominion,FBS
10,19,194,84,Abdul Haji Abdul Latheef,Shooting Guard,Wagner,BIG 12
11,19,198,110,Osama Abdullah,Shooting Guard,Penn,Conference USA
12,18,202,103,Kazuo Abe,Power Forward,TAM C. Christi,BIG 10
13,20,197,99,Arthur Abele,Small Forward,Wyoming,PAC-12
14,21,191,140,Leslie Ablett,Shooting Guard,Ark Pine Bluff,Mid-American
15,18,184,81,Ahmed Farid Abou-Shadi,Point Guard,Texas,FBS
16,21,195,133,Stphan Abrahamian Gonzalez,Point Guard,Alliant Intl,Mountain West
17,19,209,138,Yevgeny Sergeyevich Abramenko,Power Forward,W Illinois,Mid-American
18,20,203,97,Morais Santos Abreu,Center,Penn St,PAC-12
19,21,208,126,Abdullah Abuqrais,Point Guard,Army,SEC
20,18,216,94,Elmer ngel Acevedo,Point Guard,Arizona,Mountain West
21,20,193,138,Roger Achten,Shooting Guard,Utah Valley,Sun Belt
22,21,184,121,Mariano Acosta,Point Guard,Coastal Car,Mid-American
23,21,202,85,Ji Adam,Shooting Guard,Coppin St,PAC-12
24,18,182,95,Zoltn Adamik,Power Forward,Morehead St,PAC-12
25,20,201,106,Lennox Adams,Center,E Washington,SEC
26,22,187,118,Per Owe Adamson,Power Forward,New Mexico St,Conference USA
27,19,187,128,Peter Adeberg,Small Forward,Wright St,Conference USA
28,21,216,80,Esau Adenji,Small Forward,George Mason,Sun Belt
29,21,210,99,Alan Adler,Small Forward,Villanova,PAC-12
30,21,190,95,Svajnas Adomaitis,Power Forward,Bethune-Cookman,ACC
31,22,212,124,Rustam Iwanovych Adzhy,Point Guard,UNLV,SEC
32,20,216,99,Gharib Afifi,Small Forward,Washington,Sun Belt
33,19,210,105,Krikor Agathon,Point Guard,S Dakota St,FBS
34,18,208,136,Umberto Agliorini,Small Forward,NE Illinois,FBS
35,21,218,138,Renzo Pasquale Zeglio Agresta,Point Guard,E Michigan,Conference USA
36,18,181,135,Andrey Alberto Aguilar Komissarov,Point Guard,Cent Arkansas,Mid-American
37,18,189,114,Tomas Alonso Aguilera Armendariz,Point Guard,UT Arlington,Conference USA
38,21,213,123,Younes Al-Ahamdi,Shooting Guard,Princeton,SEC
39,19,199,140, Henrik Aleksander   Heikki   hlman   -Pennola   ,Power Forward,Youngstown St,Conference USA
40,19,183,85,Alaa El-Din Ahmed,Small Forward,Mississippi,Mid-American
41,19,216,92,Eugen Nikolaus Ahnstrm,Small Forward,UTEP,FBS
42,20,212,132,Daniel Ahumada Gaete,Point Guard,Appalachian St,ACC
43,22,209,137,Yutaka Aihara,Center,North Texas,Atlantic Coast
44,21,216,80,Ahmed Ait Moulay,Shooting Guard,MS Valley St,Conference USA
45,20,215,100,Geard Ajetovi,Power Forward,Columbia,PAC-12
46,19,208,139,Ali Akbarnejad,Center,Georgia Tech,ACC
47,21,210,138,Nikolaos Akestoridis,Power Forward,Northern Arizona,Mountain West
48,18,219,80,Tadahiro Akiba,Point Guard,Florida St,Sun Belt
49,22,198,85,Mehmet Akpnar,Small Forward,Montana St,FBS
50,18,193,120,Abdul Rahman Hassan Al-Abdullah,Shooting Guard,Tulsa,Mountain West
51,19,213,84,Sayed Mohamed Al-Asibi,Shooting Guard,Texas,FBS
52,20,183,135,Ali Al-Baluchi,Shooting Guard,CS Sacramento,Sun Belt
53,19,181,99,Khuwaiter Al-Dhaheri,Center,Wofford,ACC
54,22,194,88,Ahmad Abdallah Al-Emran,Power Forward,LSU,SEC
55,18,189,112,Ismail Salem Al-Hammadi,Shooting Guard,Arkansas,ACC
56,21,202,132,Obaid Ahmed Obaid Al-Jasmi,Small Forward,NC Central,Conference USA
57,21,190,97,Tameem Mohammed Ahmed Al-Kubati,Shooting Guard,Nevada,BIG 12
58,19,203,85,Ahmed Hadib Al-Moamari Bashir,Power Forward,South Florida,BIG 12
59,19,198,115,Naser Al-Otaibi,Point Guard,Brown,Atlantic Coast
60,19,209,83,Ali Yousef Al-Rumaihi,Small Forward,UC Santa Barbara,Atlantic Coast
61,18,184,137,Prince Faisal Al-Shalan,Center,CS Fullerton,FBS
62,21,182,94,Mohamed Al-Takroni,Center,E Michigan,Conference USA
63,19,180,128,Arif Alaftargil,Small Forward,NC State,FBS
64,20,194,97,Mauro Alans Gonzlez,Power Forward,Jacksonville St,Conference USA
65,20,194,120,Aristidis Albanopoulos,Small Forward,Grand Canyon,FBS
66,20,189,95,Markel Alberdi Sarobe,Center,Memphis,ACC
67,21,187,135,Ebbe Gustav Bertil Albertsson   -Andersson  ,Shooting Guard,Grand Canyon,FBS
68,19,182,131,John Robert Albrechtson,Center,SC Upstate,FBS
69,20,212,125,Ibrahim Erikovych Aldatov,Shooting Guard,Pepperdine,BIG 10
70,18,201,87,Flix Alegra,Shooting Guard,Loyola MD,Conference USA
71,18,196,101,Dmitry Sergeyevich Aleksanin,Small Forward,UAB,Atlantic Coast
72,22,220,115,Aleksandr Apollonovich Alenitsyn,Center,Florida Intl,Mountain West
73,18,190,85, Niconnor   Nico   Alexander ,Center,N Colorado,PAC-12
74,22,197,109, Alexandros   Alexios   Alexopoulos ,Small Forward,Ark Little Rock,Sun Belt
75,22,202,93, Stephen   Steve   Alger ,Center,Davidson,FBS
76,20,185,125,Hamed Ali,Center,Grambling,Atlantic Coast
77,18,211,91,Gaston Jules Louis Antoine Alibert,Center,Niagara,ACC
78,22,182,116,Deji Aliu,Shooting Guard,Valparaiso,PAC-12
79,22,183,111,Ahmed Issam Allam,Center,CS Northridge,Sun Belt
80,22,215,113,Jean-Pierre Allemand,Small Forward,VMI,FBS
81,18,186,102, Scott Ethan   Scotty   Allen ,Center,Georgia Tech,ACC
82,19,188,115,Lucien Charles Edouard Alliot,Center,Villanova,PAC-12
